position,special_char,upper_case,numeral,aggregate,length,significance,freq_score,proper_noun,noun,verb,named_entity
1.0,0,0,0,0.25,0.02181208053691275,600.42,9,0.0,8.0,3.0,4.0
1.0,1,1,0,0.29,0.018456375838926176,311.44,11,0.0,6.0,2.0,0.0
0.86,2,2,0,0.31,0.025167785234899327,537.0,13,0.0,9.0,0.01948051948051948,0.0
0.71,0,0,0,0.19,0.053691275167785234,328.32,23,0.0,18.0,0.014450867052023121,0.0
0.57,0,1,0,0.29,0.0587248322147651,272.97,29,1.0,24.0,3.0,0.0027548209366391185
0.43,0,1,0,0.3,0.06711409395973154,358.74,34,0.0,26.0,6.0,0.0
0.29,0,2,0,0.31,0.03523489932885906,211.26,17,0.0,0.05179282868525897,0.01195219123505976,1.0
0.14,1,0,1,0.1,0.0016778523489932886,8.52,0,0.0,1.0,0.0,1.0
1.0,13,38,11,0.24,0.18791946308724833,404.44,82,48.0,0.08577194752774975,15.0,41.0
1.0,0,1,0,0.18,0.02348993288590604,341.22,12,1.0,0.07518796992481203,1.0,1.0
1.0,4,1,1,0.15,0.03355704697986577,332.16,15,1.0,0.060240963855421686,2.0,5.0
1.0,0,0,0,0.17,0.026845637583892617,400.2,14,0.0,9.0,3.0,0.0
0.99,0,0,0,0.12,0.03691275167785235,173.22,16,0.0,16.0,1.0,0.0
0.99,0,0,1,0.12,0.03859060402684564,246.28,21,0.0,0.05179282868525897,3.0,1.0
0.99,0,0,0,0.15,0.031879194630872486,305.3,16,1.0,10.0,4.0,1.0
0.99,0,0,1,0.16,0.025167785234899327,282.07,13,1.0,10.0,0.015151515151515152,1.0
0.99,0,0,0,0.09,0.03355704697986577,230.39,14,0.0,0.0707070707070707,4.0,0.0
0.99,0,1,0,0.22,0.018456375838926176,307.48,9,1.0,7.0,2.0,0.0
0.98,0,0,1,0.15,0.026845637583892617,381.76,15,0.0,0.07100591715976332,2.0,1.0
0.98,0,0,0,0.12,0.015100671140939598,103.18,6,0.0,4.0,1.0,0.0
0.98,0,0,0,0.18,0.03523489932885906,268.19,16,0.0,12.0,2.0,2.0
0.98,0,0,0,0.18,0.02181208053691275,393.12,10,0.0,6.0,4.0,1.0
0.98,0,0,0,0.19,0.03859060402684564,252.06,18,0.0,9.0,5.0,2.0
0.98,0,0,0,0.2,0.03355704697986577,259.56,16,0.0,12.0,7.0,0.0
0.98,0,0,0,0.24,0.020134228187919462,251.14,9,0.0,0.044642857142857144,3.0,0.0
0.97,2,0,0,0.2,0.026845637583892617,246.27,11,0.0,8.0,7.0,2.0
0.97,0,0,0,0.1,0.020134228187919462,115.59,7,0.0,0.06722689075630252,3.0,1.0
0.97,0,0,0,0.1,0.025167785234899327,307.57,12,0.0,5.0,7.0,0.0
0.97,0,0,0,0.12,0.030201342281879196,235.87,12,0.0,12.0,5.0,0.0
0.97,0,0,0,0.18,0.03859060402684564,175.18,15,0.0,16.0,3.0,0.0
0.97,0,0,0,0.09,0.013422818791946308,242.3,5,0.0,5.0,2.0,0.0
0.96,0,0,0,0.2,0.0436241610738255,119.48,17,0.0,16.0,4.0,0.0
0.96,0,0,0,0.15,0.03859060402684564,293.73,19,0.0,12.0,6.0,1.0
0.96,2,0,0,0.22,0.028523489932885907,359.21,14,0.0,11.0,5.0,0.0
0.96,0,1,0,0.25,0.028523489932885907,392.12,10,7.0,11.0,6.0,7.0
0.96,0,1,0,0.16,0.0436241610738255,282.12,17,1.0,11.0,5.0,2.0
0.96,2,4,5,0.23,0.04194630872483222,365.22,12,12.0,23.0,3.0,14.0
0.95,0,0,1,0.27,0.03355704697986577,656.17,18,0.0,10.0,5.0,3.0
0.95,0,0,0,0.3,0.01174496644295302,565.02,6,0.0,4.0,3.0,0.0
0.95,0,0,1,0.25,0.020134228187919462,528.06,10,0.0,9.0,1.0,1.0
0.95,0,1,0,0.21,0.026845637583892617,274.73,12,2.0,8.0,4.0,1.0
0.95,0,0,1,0.24,0.03523489932885906,400.74,17,0.0,8.0,6.0,0.004878048780487805
0.95,0,0,0,0.13,0.028523489932885907,287.73,16,0.0,12.0,5.0,0.0
0.95,0,0,1,0.2,0.020134228187919462,479.4,11,0.0,7.0,1.0,1.0
0.94,0,0,0,0.17,0.018456375838926176,483.49,8,0.0,7.0,2.0,1.0
0.94,0,0,0,0.14,0.013422818791946308,162.62,6,0.0,6.0,1.0,0.0
0.94,0,0,0,0.18,0.020134228187919462,384.12,9,0.0,8.0,2.0,0.0
0.94,0,0,1,0.21,0.04194630872483222,470.44,20,0.0,13.0,6.0,1.0
0.94,0,0,0,0.23,0.04697986577181208,473.07,27,0.0,18.0,8.0,1.0
0.94,0,0,1,0.28,0.028523489932885907,585.06,17,0.0,7.0,6.0,2.0
0.93,2,8,5,0.33,0.18959731543624161,580.86,110,1.0,65.0,27.0,9.0
0.93,2,6,2,0.23,0.030201342281879196,502.36,16,0.0,12.0,4.0,2.0
0.93,0,1,3,0.28,0.015100671140939598,641.49,9,0.0,7.0,2.0,4.0
0.93,0,0,2,0.26,0.02348993288590604,781.04,14,0.0,12.0,1.0,2.0
0.93,0,1,2,0.23,0.015100671140939598,816.97,9,0.0,6.0,2.0,3.0
0.93,0,3,1,0.2,0.015100671140939598,716.8,8,0.0,10.0,2.0,1.0
0.92,0,1,2,0.22,0.020134228187919462,700.75,12,0.0,8.0,2.0,3.0
0.92,0,2,1,0.23,0.020134228187919462,746.81,11,0.0,10.0,3.0,1.0
0.92,0,2,0,0.3,0.020134228187919462,681.29,12,0.0,11.0,4.0,0.0
0.92,1,0,2,0.28,0.026845637583892617,756.32,16,0.0,10.0,2.0,3.0
0.92,0,2,3,0.3,0.026845637583892617,778.5,14,0.0,10.0,3.0,4.0
0.92,0,0,2,0.23,0.015100671140939598,699.24,9,0.0,7.0,1.0,2.0
0.92,2,1,2,0.22,0.02348993288590604,526.18,14,0.0,10.0,1.0,2.0
0.91,2,0,0,0.25,0.028523489932885907,571.98,16,0.0,13.0,4.0,0.0
0.91,0,1,0,0.27,0.016778523489932886,527.14,10,0.0,8.0,1.0,0.0
0.91,0,2,1,0.3,0.02348993288590604,782.35,14,0.0,0.06474820143884892,3.0,3.0
0.91,0,0,2,0.34,0.031879194630872486,843.63,19,0.0,10.0,3.0,3.0
