position,special_char,upper_case,numeral,aggregate,length,significance,freq_score,proper_noun,noun,verb,named_entity,cue_phrases,centrality
1,0,0,0,0.25,0.021812081,600.42,9,0,8,3,4,0.02,0.014561588
1,1,1,0,0.29,0.018456376,311.44,11,0,6,2,0,0.01,0.014592676
0.86,2,2,0,0.31,0.025167785,537,13,0,9,0.019480519,0,0,0.01089513
0.71,0,0,0,0.19,0.053691275,328.32,23,0,18,0.014450867,0,0.02,0.015077925
0.57,0,1,0,0.29,0.058724832,272.97,29,1,24,3,0.002754821,0.01,0.015345387
0.43,0,1,0,0.3,0.067114094,358.74,34,0,26,6,0,0.01,0.011466581
0.29,0,2,0,0.31,0.035234899,211.26,17,0,0.051792829,0.011952191,1,0,0.011068924
0.14,1,0,1,0.1,0.001677852,8.52,0,0,1,0,1,0,0.007506709
1,13,38,11,0.24,0.187919463,404.44,82,48,0.085771948,15,41,0,0.013999317
1,0,1,0,0.18,0.023489933,341.22,12,1,0.07518797,1,1,0,0.014084425
1,4,1,1,0.15,0.033557047,332.16,15,1,0.060240964,2,5,0.03,0.012368533
1,0,0,0,0.17,0.026845638,400.2,14,0,9,3,0,0.02,0.014130463
0.99,0,0,0,0.12,0.036912752,173.22,16,0,16,1,0,0,0.008913766
0.99,0,0,1,0.12,0.038590604,246.28,21,0,0.051792829,3,1,0.01,0.010068994
0.99,0,0,0,0.15,0.031879195,305.3,16,1,10,4,1,0.03,0.012267432
0.99,0,0,1,0.16,0.025167785,282.07,13,1,10,0.015151515,1,0.02,0.013530202
0.99,0,0,0,0.09,0.033557047,230.39,14,0,0.070707071,4,0,0.01,0.00796466
0.99,0,1,0,0.22,0.018456376,307.48,9,1,7,2,0,0.02,0.013944808
0.98,0,0,1,0.15,0.026845638,381.76,15,0,0.071005917,2,1,0.02,0.013760565
0.98,0,0,0,0.12,0.015100671,103.18,6,0,4,1,0,0,0.008145015
0.98,0,0,0,0.18,0.035234899,268.19,16,0,12,2,2,0.01,0.013536383
0.98,0,0,0,0.18,0.021812081,393.12,10,0,6,4,1,0.01,0.012429119
0.98,0,0,0,0.19,0.038590604,252.06,18,0,9,5,2,0.01,0.012641378
0.98,0,0,0,0.2,0.033557047,259.56,16,0,12,7,0,0,0.014216048
0.98,0,0,0,0.24,0.020134228,251.14,9,0,0.044642857,3,0,0,0.016579
0.97,2,0,0,0.2,0.026845638,246.27,11,0,8,7,2,0,0.014156993
